mass,lifetime,normalizedNumEvts
1500,1000,0.069904
800,10000,8.867199999999999
900,10000,1.972
1000,10000,0.0
1100,10000,0.4556
1200,10000,0.0
1300,10000,0.0
1400,10000,0.0
1500,10000,0.034952
800,1,0.0
1100,1,0.4556
1300,1,0.0
900,1,0.0
1000,1,0.0
1500,10,1.118464
900,100000,0.0
1000,100000,0.0
1200,100000,0.0
1400,100000,0.0
1500,100000,0.0
900,10,39.44
1100,10,11.845600000000001
1300,10,2.171376
800,100,177.34399999999997
1000,100,34.36856
1400,1000,0.257312
1200,1,0.0
1400,1,0.0
1500,1,0.0
800,100000,0.0
1100,100000,0.0
800,10,97.53919999999998
1000,10,21.364240000000002
1200,10,7.167199999999999
1400,10,1.6081999999999999
900,100,51.272
1100,100,18.6796
1200,100,9.7104
1300,100,3.0158
1400,100,1.92984
1500,100,0.978656
800,1000,22.167999999999996
900,1000,23.664
1000,1000,9.2888
1100,1000,0.9112
1200,1000,1.3872
1300,1000,0.60316
