mass,lifetime,normalizedNumEvts
800,10,0.0
900,10,1.972
1000,10,0.92888
1100,10,0.9112
1200,10,0.2312
1300,10,0.0
1400,10,0.064328
800,100,8.867199999999999
900,100,3.944
1000,100,0.92888
1100,100,1.3668
1200,100,0.9248
1300,100,0.120632
1400,100,0.128656
1500,100,0.0
800,1000,0.0
900,1000,1.972
1000,1000,0.0
1100,1000,0.0
1200,1000,0.0
1300,1000,0.0
1400,1000,0.0
1500,1000,0.0
800,10000,0.0
900,10000,0.0
1000,10000,0.0
1100,10000,0.0
1200,10000,0.0
1300,10000,0.0
1400,10000,0.0
1500,10000,0.0
